[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-14 14:06:09.844][DEBUG][restartedMain][StartupInfoLogger.java:56] - Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-14 15:02:40.542][DEBUG][restartedMain][StartupInfoLogger.java:56] - Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-14 15:20:18.777][DEBUG][restartedMain][StartupInfoLogger.java:56] - Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-14 15:23:33.442][DEBUG][restartedMain][StartupInfoLogger.java:56] - Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-14 15:27:17.998][DEBUG][restartedMain][StartupInfoLogger.java:56] - Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-14 15:28:29.046][DEBUG][restartedMain][StartupInfoLogger.java:56] - Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-14 15:30:12.494][DEBUG][restartedMain][StartupInfoLogger.java:56] - Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-14 15:34:02.317][DEBUG][restartedMain][StartupInfoLogger.java:56] - Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-14 15:34:52.932][DEBUG][restartedMain][StartupInfoLogger.java:56] - Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-14 15:36:24.456][DEBUG][restartedMain][StartupInfoLogger.java:56] - Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-14 15:39:19.017][DEBUG][restartedMain][StartupInfoLogger.java:56] - Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-14 15:48:04.612][DEBUG][restartedMain][StartupInfoLogger.java:56] - Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-14 16:04:16.532][DEBUG][restartedMain][StartupInfoLogger.java:56] - Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-14 16:08:06.976][DEBUG][restartedMain][StartupInfoLogger.java:56] - Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-14 16:09:37.320][DEBUG][restartedMain][StartupInfoLogger.java:56] - Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-14 16:13:42.428][DEBUG][restartedMain][StartupInfoLogger.java:56] - Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-14 16:19:43.037][DEBUG][restartedMain][StartupInfoLogger.java:56] - Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-14 16:26:10.201][DEBUG][restartedMain][StartupInfoLogger.java:56] - Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-14 16:46:24.896][DEBUG][restartedMain][StartupInfoLogger.java:56] - Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-14 16:57:07.819][DEBUG][restartedMain][StartupInfoLogger.java:56] - Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-14 17:06:17.430][DEBUG][restartedMain][StartupInfoLogger.java:56] - Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-14 17:08:44.433][DEBUG][restartedMain][StartupInfoLogger.java:56] - Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-14 17:16:29.885][DEBUG][restartedMain][StartupInfoLogger.java:56] - Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-14 17:22:48.765][DEBUG][restartedMain][StartupInfoLogger.java:56] - Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-14 17:48:20.276][DEBUG][restartedMain][StartupInfoLogger.java:56] - Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
