[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-13 14:04:02.720][WARN ][http-nio-8888-exec-1][SqlExceptionHelper.java:137] - SQL Error: 1064, SQLState: 42000
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-13 14:05:08.884][WARN ][http-nio-8888-exec-1][SqlExceptionHelper.java:137] - SQL Error: 1064, SQLState: 42000
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-13 14:07:31.178][WARN ][http-nio-8888-exec-1][SqlExceptionHelper.java:137] - SQL Error: 0, SQLState: S0022
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-13 14:22:00.824][WARN ][http-nio-8888-exec-1][SqlExceptionHelper.java:137] - SQL Error: 207, SQLState: S0001
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-13 14:22:49.417][WARN ][http-nio-8888-exec-2][SqlExceptionHelper.java:137] - SQL Error: 207, SQLState: S0001
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-13 14:22:52.894][WARN ][http-nio-8888-exec-3][SqlExceptionHelper.java:137] - SQL Error: 207, SQLState: S0001
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-13 14:23:31.338][WARN ][http-nio-8888-exec-4][SqlExceptionHelper.java:137] - SQL Error: 207, SQLState: S0001
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-13 14:25:01.873][WARN ][http-nio-8888-exec-1][SqlExceptionHelper.java:137] - SQL Error: 207, SQLState: S0001
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-13 14:25:11.362][WARN ][http-nio-8888-exec-2][SqlExceptionHelper.java:137] - SQL Error: 207, SQLState: S0001
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-13 14:25:16.401][WARN ][http-nio-8888-exec-3][SqlExceptionHelper.java:137] - SQL Error: 207, SQLState: S0001
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-13 14:25:17.029][WARN ][http-nio-8888-exec-4][SqlExceptionHelper.java:137] - SQL Error: 207, SQLState: S0001
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-13 14:25:17.267][WARN ][http-nio-8888-exec-5][SqlExceptionHelper.java:137] - SQL Error: 207, SQLState: S0001
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-13 14:25:17.524][WARN ][http-nio-8888-exec-6][SqlExceptionHelper.java:137] - SQL Error: 207, SQLState: S0001
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-13 14:25:17.711][WARN ][http-nio-8888-exec-7][SqlExceptionHelper.java:137] - SQL Error: 207, SQLState: S0001
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-13 14:25:17.899][WARN ][http-nio-8888-exec-8][SqlExceptionHelper.java:137] - SQL Error: 207, SQLState: S0001
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-13 14:25:18.079][WARN ][http-nio-8888-exec-9][SqlExceptionHelper.java:137] - SQL Error: 207, SQLState: S0001
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-13 14:25:51.160][WARN ][http-nio-8888-exec-10][SqlExceptionHelper.java:137] - SQL Error: 207, SQLState: S0001
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-13 14:26:00.003][WARN ][http-nio-8888-exec-10][SqlExceptionHelper.java:137] - SQL Error: 207, SQLState: S0001
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-13 14:27:30.134][WARN ][http-nio-8888-exec-1][SqlExceptionHelper.java:137] - SQL Error: 207, SQLState: S0001
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-08-13 15:57:14.994][WARN ][http-nio-8888-exec-1][SqlExceptionHelper.java:137] - SQL Error: 207, SQLState: S0001
